Lesson,Kanji,On,Kun,Trans
3,流,リュー,ながれる,течение
2,浅,,,мелкий
1,浜,,,seacoast
1,浪,,,wandering
3,浮,フ,うく,"плавать, плавающий, нестабильный"
2,浴,,,купаться
4,海,カイ,うみ,море
3,消,ショー,きえる、けす,"гасить, тушить, исчезать"
3,涙,ルイ,なみだ,слезы
2,液,,,fluid
2,涼,,,refreshing
3,深,シン,ふかい,глубокий
2,混,コン,まじる,смешивать
3,清,セイ,きよい,чистый
3,済,サイ,すむ,"окончиться, уплачивать, помогать"
2,減,,,decrease
3,渡,ト,わたる,переправляться
2,温,オン,あたたかい,"тёплый, температура"
2,測,,,fathom
2,港,コー,みなと,"порт, гавань"
2,湖,コ,みずうみ,озеро
2,湯,トー,ゆ,горячая вода
2,湾,,,gulf
2,湿,,,damp
3,満,マン,みちる,полный
1,源,ゲン,みなもと,исток
3,準,ジュン,—,"стандарт, полу"
2,溶,,,melt
1,滅,メツ,ほろびる,"гибнуть, разрушаться, неразумный"
2,滴,,,drip
2,漁,,,рыбачить
3,演,エン,—,выступать
